Step No.,Description of Step,Location
Step No.,Description of Step,Location
1,Reception and verification of CAP allotment letter (First Step),"College Porch, Gr. Floor"
2,College online admission at ERP portal,"Room No. 001, Gr. Floor"
3,E-Scrutiny and applicable fees challan generation,"Room No. 001, Gr. Floor"
4,Admission fees payment online / at bank counter in the campus & SPPU Fees & Examination fees payment at account section,"Room No. 001, Gr. Floor"
5,Original documents verification,"Room No. 109/110,
First Floor"
6,Admission confirmation at DTE/ CET cell portal,"Conference Hall, First Floor"
7,"Final reporting at reception counter (Last Step)
WhatsApp Group Joining","College Porch,
Gr. Floor"
