Name of Department,Time Table,Time Table,Time Table
Printing and Packaging Technology,SE,TE,BE
Mechanical Engineering,"SE A Divison
SE B Division","TE A Division
TE B Division","BE A Division
BE B Division"
Electrical Engineering,SE,TE,BE
E &TC Engineering,"SE A Division
SE B Division","TE A Division
TE B Division","BE A Division
BE B Division"
Information Technology,SE,TE,BE
Computer Engineering,SE,TE,BE
Artificial Intelligence and Data Science,SE,TE,BE
MBA,"FIN
HR
MKT
OSCM","FIN
HR
MKT
OSCM","FIN
HR
MKT
OSCM"
